navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,število delov,popisovalec,stanje,zgodovina,polica
,,Igralna konzola,Sega,Sega Saturn,25,22,7,1996,AE62015639,,marko,črne barve,zootfly,D1
,,Igralna konzola,Tiger,game.com,19,11,2,1997,PA2518A,,marko,srebrno-črne barve v original škatli modre barve,zootfly,D1
,,Igralna konzola,MiltonBradley,Microvision,9,24,4,,4952 1795649,,marko,temno rjave barve,zootfly,D1
,,Igralna konzola,Hi-Tech Toy's,Family Computer,15,21,5,,237691,,marko,svetlo sive barve,zootfly,D1
,,Igralna konzola,Panasonic,3DO,28,26,9,,3JKSB22116,,marko,črne barve,zootfly,D1
,,Igralna konzola,Nintendo,Game Boy Color,8,13,2,1998,CG580324442,,marko,vijolične barve,zootfly,D1
,,Igralna konzola,Nintendo,Game Boy pocket,8,12,2,1996,,,marko,modre barve,zootfly,D1
,,Igralna konzola,Nintendo,Game Boy Advance,14,8,3,2000,AU111548088,,marko,vijolične barve,zootfly,D1
,,Igralna konzola,Nintendo,Nintendo DS,15,8,3,2004,NU107085931,,marko,srebrne barve v original škatli sive barve,zootfly,D1
,,Igralna konzola,Nokia,N-Gage QD,11,6,2,,010339001263003,,marko,sive barve,zootfly,D1
,,Igralna konzola,SNK,NeoGeo Pocket,12,7,2,1998,0113109,,marko,srebrne barve,zootfly,D1
,,Igralna konzola,SNK,NeoGeo Pocket Color,13,8,2,,0622385,,marko,svetlo modre barve,zootfly,D1
,,Igralna konzola,Nintendo,Game Boy Micro,10,5,2,2005,MC401508723,,marko,"spredaj srebrn, okrog črn; v original škatli črne barve",zootfly,D1
,,Komponenta,Nintendo,e-reader,9,11,4,2002,,,marko,črne barve,zootfly,D1
,,Komponenta,Nintendo,Game Boy camera,6,11,3,,,,marko,modre barve,zootfly,D1
,,Igralna konzola,Nintendo,Game Boy,9,15,3,1989,G802301275,,marko,sive barve,zootfly,D1
,,Komponenta,Nintendo,Game Boy printer,7,14,6,,PR103918295,,marko,sive barve,zootfly,D1
,,Igralna konzola,Sony,PSP,17,7,2,,SU2153263,,marko,črne barve,zootfly,D1
,,Igralna konzola,Sony,PlayStation 2,30,20,8,2003,FS0828779,,marko,črne barve,zootfly,D1
,,Igralna konzola,Microsoft,Xbox,32,26,9,2003,5187833 32805,,marko,črne barve,zootfly,D1
,,Igralna konzola,Atari,Atari 2600 Video Computer System,34,23,9,,1013802,,marko,"črne barve, spredaj letvica v rjavi imitaciji lesa",zootfly,D1
,,Igralna konzola,Nintendo,Virtual Boy,25,19,11,1995,VN10?596669,,marko,rdeče-črne barve,zootfly,D1
,,Igralna konzola,Fairchild,Channel F System II,29,31,8,,491044,,marko,"črne barve, okrog letvica v rjavi imitaciji lesa",zootfly,D1
,,Igralna konzola,Sony,PlayStation,27,18,6,1996,U8746976,,marko,sive barve,zootfly,D1
,,Igralna konzola,Commodore,Commodore 64,41,24,6,,667242,,marko,porumenele bež barve,zootfly,D1
,,Igralna konzola,View-Master,Interactive Vision,28,26,7,1988,,,marko,sive barve,zootfly,D1
,,Igralna konzola,Mattel,IntelliVison II,25,17,7,1982,P2 032446,,marko,porumenele bež barve,zootfly,D1
,,Igralna konzola,Panasonic,3DO,31,23,7,1995,5CKSA44227,,marko,temno sive barve,zootfly,D1
,,Igralna konzola,INTV Corp.,INTV System III,39,22,7,,A006684,,marko,črne barve s srebrnima letvicama,zootfly,D1
