navodila,,vrsta,proizvajalec,ime,širina,dolžina,višina,leto,serijska številka,število delov,popisovalec,stanje,zgodovina
"pod stanje vnesi vizualno prepoznavne znake - barve, oblike, nalepke, praske, poškodbe",,Igralna konzola,Fairchild,Video Entertainment System,31,33,9,,,,marko,"črna konzola, ob strani rjava imitacija lesa",zootfly
,,Igralna konzola,NEC,Turbo Express,10,17,5,,1852185LA,,marko,črne barve,zootfly
,,Igralna konzola,Sega,Game Gear,21,11,4,,B31301148,,marko,temno sive barve,zootfly
,,Igralna konzola,Magnavox,Odyssey 2,33,33,11,,,,marko,"srebrno zgoraj, ob strani črno",zootfly
,,Komponenta,Magnavox,The Voice - Odyssey 2,33,15,12,,,,marko,"srebrno zgoraj, ob strani črno",zootfly
,,Igralna konzola,Nintendo,Nintendo 64,26,19,7,1996,NS213131843,,marko,temno sive barve,zootfly
,,Komponenta,Nintendo,Nintendo 64 Memory Expansion Pak,5,5,2,,22,,marko,črno-rdeče barve,zootfly
,,Igralna konzola,Coleco,Telstar Arcade,41,40,20,,617 V366,,marko,rjave barve,zootfly
,,Komponenta,Mattel,Power Glove,18,34,7,1989,,,marko,siva rokavica,zootfly
,,Igralna konzola,NEC,TurboGrafx 16,30,19,4,,9Y56290HB,,marko,črna konzola,zootfly
,,Igralna konzola,Sega,Genesis,28,21,7,,,,marko,črna konzola,zootfly
,,Komponenta,Sega,Sega CD,29,21,11,1992,A20118988,,marko,črne barve,zootfly
,,Komponenta,Mattel,IntelliVoice,19,16,4,1981,361113,,marko,črne barve,zootfly
,,Igralna konzola,Mattel,IntelliVision,39,22,7,1979,596970,,marko,črne barve s srebrnima letvicama,zootfly
,,Igralna konzola,Nintendo,Nintendo Entertainment System,15,19,7,1993,NN101073095,,marko,sive barve z rdečim gumbom,zootfly
,,Igralna konzola,Atari,Atari 5200,38,33,11,,A1 2121886 505,,marko,črne barve s srebrno letvico,zootfly
,,Igralna konzola,Nintendo,Game Boy Advance SP,8,8,2,2002,XU112542252,,marko,modre barve v original škatli modre barve,zootfly
,,Igralna konzola,Sega,Genesis,22,21,5,,,,marko,črne barve,zootfly
,,Komponenta,Sega,Sega CD,38,22,9,1993,R30007328,,marko,črne barve,zootfly
,,Komponenta,Sega,Genesis 32X,21,10,10,,P40042345,,marko,črne barve,zootfly
,,Igralna konzola,Sony,PlayStation,27,19,6,1997,S8405728,,marko,sive barve,zootfly
,,Komponenta,Sega,Dreamcast Visual Memory Unit,5,7,2,2000,,,marko,prosojno rdeče barve,zootfly
,,Komponenta,Sega,Dreamcast Visual Memory Unit,5,7,2,2000,,,marko,prosojno zelene barve v original škatli črne barve,zootfly
,,Igralna konzola,Sega,Genesis 3,16,15,4,,AG82221990,,marko,črne barve,zootfly
,,Igralna konzola,Sony,PS one,19,16,4,2000,P0138689283,,marko,svetlo sive barve,zootfly
,,Igralna konzola,Sega,Master System II Power Base,25,16,8,,B00031495,,marko,temno sive barve,zootfly
,,Igralna konzola,Sega,Dreamcast,19,19,7,2000,DU063057577,,marko,svetlo sive barve,zootfly
,,Igralna konzola,Sega,Sega Saturn,25,22,7,1996,AE62015639,,marko,črne barve,zootfly
,,Igralna konzola,Tiger,game.com,19,11,2,1997,PA2518A,,marko,srebrno-črne barve v original škatli modre barve,zootfly
,,Igralna konzola,MiltonBradley,Microvision,9,24,4,,4952 1795649,,marko,temno rjave barve,zootfly
,,Igralna konzola,Hi-Tech Toy's,Family Computer,15,21,5,,237691,,marko,svetlo sive barve,zootfly
,,Igralna konzola,Panasonic,3DO,28,26,9,,3JKSB22116,,marko,črne barve,zootfly
,,Igralna konzola,Nintendo,Game Boy Color,8,13,2,1998,CG580324442,,marko,vijolične barve,zootfly
,,Igralna konzola,Nintendo,Game Boy pocket,8,12,2,1996,,,marko,modre barve,zootfly
,,Igralna konzola,Nintendo,Game Boy Advance,14,8,3,2000,AU111548088,,marko,vijolične barve,zootfly
,,Igralna konzola,Nintendo,Nintendo DS,15,8,3,2004,NU107085931,,marko,srebrne barve v original škatli sive barve,zootfly
,,Igralna konzola,Nokia,N-Gage QD,11,6,2,,010339001263003,,marko,sive barve,zootfly
,,Igralna konzola,SNK,NeoGeo Pocket,12,7,2,1998,0113109,,marko,srebrne barve,zootfly
,,Igralna konzola,SNK,NeoGeo Pocket Color,13,8,2,,0622385,,marko,svetlo modre barve,zootfly
,,Igralna konzola,Nintendo,Game Boy Micro,10,5,2,2005,MC401508723,,marko,"spredaj srebrn, okrog črn; v original škatli črne barve",zootfly
,,Komponenta,Nintendo,e-reader,9,11,4,2002,,,marko,črne barve,zootfly
,,Komponenta,Nintendo,Game Boy camera,6,11,3,,,,marko,modre barve,zootfly
,,Igralna konzola,Nintendo,Game Boy,9,15,3,1989,G802301275,,marko,sive barve,zootfly
,,Komponenta,Nintendo,Game Boy printer,7,14,6,,PR103918295,,marko,sive barve,zootfly
,,Igralna konzola,Sony,PSP,17,7,2,,SU2153263,,marko,črne barve,zootfly
,,Igralna konzola,Sony,PlayStation 2,30,20,8,2003,FS0828779,,marko,črne barve,zootfly
,,Igralna konzola,Microsoft,Xbox,32,26,9,2003,5187833 32805,,marko,črne barve,zootfly
,,Igralna konzola,Atari,Atari 2600 Video Computer System,34,23,9,,1013802,,marko,"črne barve, spredaj letvica v rjavi imitaciji lesa",zootfly
,,Igralna konzola,Nintendo,Virtual Boy,25,19,11,1995,VN10?596669,,marko,rdeče-črne barve,zootfly
,,Igralna konzola,Fairchild,Channel F System II,29,31,8,,491044,,marko,"črne barve, okrog letvica v rjavi imitaciji lesa",zootfly
,,Igralna konzola,Sony,PlayStation,27,18,6,1996,U8746976,,marko,sive barve,zootfly
,,Igralna konzola,Commodore,Commodore 64,41,24,6,,667242,,marko,porumenele bež barve,zootfly
,,Igralna konzola,View-Master,Interactive Vision,28,26,7,1988,,,marko,sive barve,zootfly
,,Igralna konzola,Mattel,IntelliVison II,25,17,7,1982,P2 032446,,marko,porumenele bež barve,zootfly
,,Igralna konzola,Panasonic,3DO,31,23,7,1995,5CKSA44227,,marko,temno sive barve,zootfly
,,Igralna konzola,INTV Corp.,INTV System III,39,22,7,,A006684,,marko,črne barve s srebrnima letvicama,zootfly
