firma,naslov,Longitude,Latitude
Iskra CAOP - Center za avtomatsko obdelavo podatkov,"Stegne 11, Ljubljana",14.4844422,46.0837773
Iskra Commerce,"Kotnikova 6, Ljubljana",14.5133402,46.0544101
Iskra Delta,"Parmova 41, Ljubljana",14.5034441,46.0629713
Iskra Elektromehanika,"Savska loka 4, Kranj",14.3513915,46.2352048
Iskra Računalniki,"Ljubljanska cesta 24, Kranj",14.3520714,46.2242202
Iskra Široka potrošnja,"Otoki 21, Železniki",14.1636345,46.2227565
Iskra Telekomunikacije Labore,"Ljubljanska cesta 24, Kranj",14.3520714,46.2242202
Iskra TEN - Tovarna elektronskih naprav,"Stegne 11, Ljubljana",14.4844422,46.0837773
Iskra ZZA - Zavod za avtomatizacijo,"Tržaška cesta 2, Ljubljana",14.4940503,46.0472469
Izobraževalna skupnost SRS,"Aškerčeva 9, Ljubljana",14.497856,46.046717
Izvršni svet SRS,"Gregorčičeva 20, Ljubljana",14.4978016,46.0490789
Jeklotehna,"Partizanska 36, Maribor",15.6553301,46.5605439
Jelovica,"Kidričeva cesta 58, Škofja loka",14.3328453,46.1738952
JLA - Jugoslovanska ljudska armada,#N/A,,
Jugotekstil impex,"Titova 3, Ljubljana",14.5057515,46.0569465
Jutranjka,"Radna 3, Sevnica",15.3045679,46.0070317
Kartonažna tovarna,"Čufarjeva ulica 16, Ljubljana",14.511753,46.0536622
KBH Ljubljana - Kreditna banka in hranilnica,"Šubičeva 2, Ljubljana",14.5023079,46.051122
KBH Maribor - Kreditna banka in hranilnica,"Ulica Vita Kraigherja 4, 2000 Maribor",15.6498987,46.5594496
KBM - Kreditna banka Maribor,"Vita Kraigherja 4, Maribor",15.6498987,46.5594496
Kemijski inštitut,"Hacquetova 2, Ljubljana",14.5140192,46.0603966
KK Žalec - Kmetijski kombinat,"Miklošičeva cesta 7, Celje",15.2640051,46.2314714
KLI Logatec - Kombinat lesno predelovalne industrije,"Dolenji Logatec 141, Logatec",14.2,45.9
Klinična bolnica v Ljubljani,"Zaloška 2, Ljubljana",14.5208467,46.0522515
Kmetijsko gospodarstvo Škofja Loka,"Suha 48, Škofja Loka",14.3238784,46.1631913
Komet,"Cesta bratstva in enotnosti 92, Metlika",15.3189135,45.6440284
Kompas,"Dvoržakova 11, Ljubljana",14.503617,46.0570983
Komunalna banka,"Beethovnova 13, Ljubljana",14.5022776,46.0533623
Komunalno podjetje Celje,"Teharska 49, Celje",15.2779754,46.2310768
Konim,"Titova 38/VIII, Ljubljana",14.5057515,46.0569465
Kontekstobus,"Miklošičeva 5, Ljubljana",14.5065628,46.0534624
Kopa,"Pameče 153, Slovenj Gradec",15.0747865,46.5298865
Kovinotehna,"Mariborska 7, Celje",15.2679049,46.2340168
Krka,"Šmarješka cesta 6, Novo mesto",15.1789937,45.8155714
KŽK Kranj - Kmetijsko živilski kombinat,"Cesta JLA 2, Kranj",14.3555417,46.2428344
Labod,"Seidlova cesta 35, Novo mesto",15.1749525,45.8140548
Lek,"Celovška cesta 135, Ljubljana",14.4882779,46.0707226
Lesna,"Gosposvetska 4, Slovenj Gradec",15.079525,46.5074485
Lesnina,"Titova 37, Ljubljana",14.5057515,46.0569465
Lesonit,"Nikole Tesle 11, Ilirska Bistrica",14.2418616,45.570099
LIP - Lesna industrija Bled,"Ljubljanska cesta 32, Bled",14.1188023,46.3682849
Lisca,"Prešernova ulica 4, Sevnica",15.3037861,46.0084166
Litostroj,"Djakovičeva 36, Ljubljana",14.5057515,46.0569465
Ljubljanska banka,"Trg revolucije 2, Ljubljana",14.5002769,46.0496737
Ljubljanska banka Črnomelj,"Trg Svobode 2, Črnomelj",15.1929153,45.5705328
Ljubljanske mlekarne,"Tolstojeva 63, Ljubljana",14.5053122,46.0774099
Ljubljanske občine,"Adamič Lundrovo nabrežje 2, Ljubljana",14.5067469,46.0509529
Loka,Škofja Loka,14.3058337,46.1671294
LTH - Loška tovarna hladilnikov,"Vincarje 2, Škofja Loka",14.3008389,46.1678786
Luka Koper,"Nabrežje jugoslovanske mornarice 1a, Koper",13.7301877,45.548059
Mariborska livarna,"Kajžarjeva 19, Maribor",15.5522576,46.5746041
Marles,"Limbuška cesta 2, Limbuš",15.5983111,46.5616099
Matematični center SRS,"Lepi pot 11, Ljubljana",14.4951339,46.0450965
Meblo,"Industrijska cesta 5, Nova Gorica",13.6639366,45.953835
Mehanografski center,#N/A,,
Mehanografski center Streliška,"Streliška 1a, Ljubljana",14.5115448,46.0495776
Mehanografski center Tobačna,"Tobačna 5, Ljubljana",14.4933151,46.0483791
Mehanotehnika,"Polje 9, Izola",13.6752141,45.5393358
Mercator,"Aškerčeva 3, Ljubljana",14.4991959,46.0466004
MERX,"Kocenova 2, Celje",15.2661773,46.2283782
Metalka,"Dalmatinova 2, Ljubljana",14.5050698,46.0538826
Metalna,"Zagrebška cesta 20, Maribor",15.6567238,46.53458
Mikrohit,"Titova 6, Ljubljana",14.5057515,46.0569465
Mikroračunalniški klub Abacus,"Kersnikova 4, Ljubljana",14.5040802,46.0558232
Mladinska knjiga,"Titova 2/3, Ljubljana",14.5057515,46.0569465
MTT - Mariborska tekstilna tovarna,"Kraljeviča Marka 21, Maribor",15.6642362,46.5569138
Mura,"Jože Kerenćiča 3, Murska Sobota",16.1610293,46.6581381
Narodna banka centrala Ljubljana,"Titova cesta 11, Ljubljana",14.5057515,46.0569465
NIJS - Nuklearni inštitut Jožef Stefan,"Jamova 39, Ljubljana",14.4876334,46.0428394
Novoles,"Prešernov trg 9, Novo mesto",15.1669175,45.8044881
Novoteks,"Foersterjeva 10, Novo mesto",15.1516614,45.8112211
Onkološki inštitut,"Zaloška cesta 2, Ljubljana",14.5208467,46.0522515
Palace Hotel,"Portorož 147, Portorož",13.5908455,45.5142898
Peko,"Cesta Ste Marie aux mines 5, 4290 Tržič",14.3001157,46.3589913
Perutnina,"Dr.Jožeta Potrča 4, Ptuj",15.8696884,46.4199535
Petrol,"Prešernova 42, Ljubljana",14.5001895,46.054104
Pionir,"Kettejev drevored 37, Novo mesto",15.1582541,45.8103221
Planika,"Savska Loka 21, Kranj",14.3627208,46.2272914
Pletenina,"Zaloška cesta 14, Ljubljana",14.5284356,46.0540534
Pletenine,Bled,14.1145798,46.3683266
Polzela,"Cvetlična ulica 3, Polzela",15.0823359,46.2722999
Predilnica in tkalnica Tržič,"Predilniška cesta 12, Tržič",14.3070003,46.3613892
Predilnica Litija,"Predilniška 6, Litija",14.8212591,46.0590094
Prehrana,"Kersnikova 2, Ljubljana",14.5040044,46.0553891
Primat,"Industrijska 22, Maribor",15.6587115,46.5580918
Primorje,"Vipavska cesta 3, Ajdovščina",13.9107979,45.8867444
Prometni inštitut,"Moše Pijadejeva 39, Ljubljana",14.5080648,46.0560189
"PTT Računski center - Pošta, telegraf in telefon","Cigaletova 10/IV, Ljubljana",14.507117,46.0569755
Računalniški center Dobrina,"Cankarjeva 1, Celje",15.2657228,46.2301862
Računalniški center Univerze v Zagrebu,"Josipa Marohnića 5, Zagreb",15.969578,45.7923835
Računski center Zagreb,#N/A,,
Radenska,"Titova 26, Murska Sobota",16.1610293,46.6581381
Rašica,"Zgornje Gameljne 20, Ljubljana",14.4935306,46.1273295
Razvojni center Celje,"Trg 5.kongresa 9, Celje",15.2677063,46.2397495
RCU - Računalniški center Univerze v Ljubljani,"Hajdrihova 28, Ljubljana",14.4927077,46.0419366
RCUM - Računalniški center Univerze v Mariboru,"Slomškov trg 15, Maribor",15.6433073,46.5591885
REK - Rudarsko elektroenergetski kombinat,"Prešernova 6, Velenje",15.1170885,46.3608417
Republiška skupnost za ceste SRS,"Prešernova 28, Ljubljana",14.5001895,46.054104
Rog,"Trubarjeva 72, Ljubljana",14.5153521,46.0515644
RRC - Republiški računski center,"Jadranska 21, Ljubljana",14.4904028,46.042056
RRC Stegne - Republiški računski center,"Stegne 11, Ljubljana",14.4844422,46.0837773
RSNZ - Republiški sekretariat za notranje zadeve,"Tacen 48, Ljubljana",14.4610995,46.1187132
Rudarski šolski center Velenje,"Trg mladosti 3, Velenje",15.1129027,46.361525
Rudis,"Trg revolucije 11, Trbovlje",15.0403184,46.1469817
RZS Ljubljana - Regionalna zdravstvena skupnost,"Miklošičeva 24, Ljubljana",14.5081806,46.0550393
Sadje Zelenjava,"Poljanska cesta 46a, Ljubljana",14.5223194,46.0484388
Salonit,"Anhovo 1, Anhovo",13.6212279,46.0576448
Saturnus,"Ob železnici 16, Ljubljana",14.5370515,46.0590691
Sava,"Škofjeloška 6, Kranj",14.3532517,46.228159
SDK Celje - Služba družbenega knjigovodstva,Celje,15.2677063,46.2397495
SDK centrala Ljubljana - Služba družbenega knjigovodstva,"Cankarjeva 18, Ljubljana",14.5004619,46.0531936
SDK Kranj - Služba družbenega knjigovodstva,Kranj,14.3555417,46.2428344
SDK Krško - Služba družbenega knjigovodstva,Krško,15.4921312,45.9589978
SDK Maribor - Služba družbenega knjigovodstva,"Ulica škofa Maksimilijana Držečnika 9, maribor",15.6492375,46.5593002
SDK Novo mesto - Služba družbenega knjigovodstva,Novo mesto,15.1710089,45.8010824
SGP Gorica - Splošno gradbeno podjetje,"Erjavčeva 19, Nova Gorica",13.6412275,45.9542068
SGP Gradbinec - Splošno gradbeno podjetje,"Nazorjeva 1, Kranj",14.3550399,46.2475312
SGP Grosuplje - Splošno gradbeno podjetje,"Taborska 13, Grosuplje",14.6542913,45.9547106
SGP Konstruktor - Splošno gradbeno podjetje,"Sernčeva 8, Maribor",15.6372648,46.5651002
SGP Stavbenik - Splošno gradbeno podjetje,"Tomažičeva 18, Izola",13.6494355,45.5324504
Simplex,"Vojkova 4, Idrija",14.028296,46.0047115
Sklad Borisa Kidriča,"Župančičeva 6, Ljubljana",14.5014984,46.0530625
Skupščina mestne občine Ljubljana,"Adamič Lundrovo nabrežje 2, Ljubljana",14.5067469,46.0509529
Skupščina občine Celje,Celje,15.2677063,46.2397495
Skupščina občine Domžale,Domžale,14.5944171,46.1419417
Skupščina občine Jesenice,Jesenice,14.0526057,46.4367047
Skupščina občine Koper,Koper,13.7301877,45.548059
Skupščina občine Kranj,"Trg revolucije 1, Kranj",15.6461976,46.5543678
Skupščina občine Ljubljana,"Adamič Lundrovo nabrežje 2, Ljubljana",14.5067469,46.0509529
Skupščina občine Maribor,"Heroja Staneta 1, Maribor",15.6487652,46.5624131
Skupščina občine Nova Gorica,Nova Gorica,13.6493044,45.9549755
Skupščina občine Škofja Loka,Škofja Loka,14.3058337,46.1671294
Skupščina občine Velenje,Velenje,15.1106582,46.3622743
Slovenija vino,"Frankopanska 11, Ljubljana",14.4977572,46.0616785
Slovenijales,"Beethovnova 11, Ljubljana",14.5023578,46.0533967
Slovenijales Spodnja Idrija,Spodnja Idrija,14.025229,46.0323931
Špedtrans,"Meljska cesta 16, Maribor",15.6587047,46.560415
SPIZ - Skupnost za pokojninsko in invalidsko zavarovanje,"Kolodvorska ulica 15, Ljubljana",14.5096974,46.0570493
Splošna bolnišnica Maribor,"Ljubljanska 5, Maribor",15.6483827,46.5532154
Splošna plovba,"Župančičeva 24, Piran",13.568656,45.5261034
Staninvest,"Kersnikova 6, Ljubljana",14.5041666,46.0559004
Stavbar,"Industrijska 13, Maribor",15.6593463,46.558986
Stol,"Duplica 26, Kamnik",14.6001242,46.1992764
STT - Strojna tovarna Trbovlje,"Vodenska cesta 49, Trbovlje",15.0375627,46.1434983
Surovina,"Pobreška cesta 20, Maribor",15.6514905,46.5531141
Svila,"Ob Dravi 6, Maribor",15.6761637,46.5569905
Svilanit,"Kovinarska 4, Kamnik",14.6069557,46.2178467
TAM - Tovarna avtomobilov Maribor,"Ptujska cesta 86, Maribor",15.6609093,46.5355288
Tanjug,"Obilićev Venac 2, Beograd",20.4558998,44.8164583
Tehniška šola Celje,"Pot na lavo 22, Celje",15.2566817,46.2355674
Tekstil,"Moše Pijadejeva 3, Ljubljana",14.5080648,46.0560189
Tekstilindus,"Savska cesta 34, Kranj",14.359702,46.2328847
Termika,"Kamniška 25, Ljubljana",14.5011475,46.0686873
TGA - Tovarna glinice in aluminija,"Tovarniška cesta 10, Kidričevo",15.7977529,46.3957894
Titan,"Kovinarska 28, Kamnik",14.6041903,46.2124604
TKI - Tovarna kemičnih izdelkov,"Cesta 1.Maja 19, Hrastnik",15.0935434,46.1293132
TKO Zreče - Tovarna kovanega orodja,"Kovaška cesta 10, Zreče",15.3872107,46.3756967
Tobačna tovarna,"Tobačna ulica 2, Ljubljana",14.4922698,46.0471727
Tomos - Tovarna motorjev Sežana,"Šmarska cesta 4, Koper",13.7290338,45.5337517
Toper,"Glavni trg 18, Celje",15.2648712,46.2283259
Tops,"Savlje 89, Ljubljana",14.4997286,46.0953289
Tovarna dušika Ruše,"Tovarniška cesta 51, Ruše",15.5148537,46.545385
Tovarna stikalnih naprav,"Šentiljska cesta 49, Maribor",15.6575785,46.5745203
TVT Boris Kidrič - Tovarna vozil in toplotne tehnike,"Leningrajska 27, Maribor",15.6458812,46.5546503
UNIAL,"Tovarniška cesta 10, Kidričevo",15.7977529,46.3957894
Univerza v Ljubljani,"Kongresni trg 12, Ljubljana",14.5041552,46.0491938
Upravna enota mestne občine Ljubljana,"Adamič Lundrovo nabrežje 2, Ljubljana",14.5067469,46.0509529
Upravna enota občine Moste-Polje,"Proletarska cesta 1, Ljubljana",14.5334322,46.0559298
VEKŠ - Visoka ekonomska komercialna šola,"Razlagova 14, Maribor",15.6522753,46.5619028
Veriga,"Alpska cesta 43, Lesce",14.1575149,46.357886
Viator,"Celovška 166, Ljubljana",14.4846162,46.0753864
Vodno gospodarstvo Maribor,Maribor,15.6458812,46.5546503
Vojnotehnični inštitut Kragujevac,#N/A,,
Vozila Gorica,Šempeter pri Novi Gorici,13.6400285,45.9283576
VŠOD - Visoka šola za organizacijo dela,"Kidričeva cesta 55 A, 4000 Kranj",14.3498569,46.2509319
VTŠ - Višja tehniška šola,"Smetanova ulica 17, Maribor",15.6392718,46.5594876
Zavarovalnica Maribor,"Partizanska 47, Maribor",15.6570006,46.5623816
Zavod SRS za družbeno planiranje,"Gregorčičeva 25, Ljubljana",14.4983272,46.0486814
Zavod za avtomatsko obdelavo podatkov Trnovo,"Teslova ulica 17, Ljubljana",14.494196,46.043579
Zavod za napredek gospodarstva Celje,"Vodnikova ulica 3, Celje",15.2639706,46.2301832
Zavod za organizacijo in revizijo,"Gregorčičeva 37, Maribor",15.6428414,46.5609862
Zavod za raziskave materiala in konstrukcij,"Dimičeva ulica 12, Ljubljana",14.5138691,46.0702988
Zavod za statistiko SRS,"Vozarski pot 12, Ljubljana",14.5078706,46.0446059
Zavod za statistiko SRS Ljubljana,"Vozarski pot 12, Ljubljana",14.5078706,46.0446059
Zavod za urbanizem,"Verovškova ulica 64, Ljubljana",14.501835,46.0773466
Zdravilišče Radenci,"Zdraviliško naselje 12, Radenci",16.0508774,46.6417548
Zdravstveni dom Celje,"Gregorčičeva ulica 5, Celje",15.2624868,46.2321599
Združenje gozdnogospodarskih podjetij,#N/A,,
Železarna Jesenice,"Cesta železarjev 8, Jesenice",14.0648538,46.4309775
Železarna Ravne,"Koroška cesta 14, Ravne na Koroškem",14.949648,46.5442574
Železarna Sisak,"Ulica kneza Domagoja 9, Sisak",16.3763088,45.4542172
Železarna Smederovo,#N/A,,
Železarna Štore,"Železarska cesta 3, Štore",15.3211166,46.2202438
Zlatorog,"Industrijska 23, Maribor",15.6591125,46.5575057
ZOTKS - Zveza organizacij za tehnično kulturo Slovenije,"Lepi pot 6, Ljubljana",14.4941406,46.0456387
ŽTP - Železniško transportno podjetje,"Moša Pijadejeva 39, Ljubljana",14.4114364,46.1836477
Zvezni zavod za statistiko,"Kneza Miloša 20, Beograd",20.4613588,44.8074093
Zvezni Zavod za statistiko SRS,"Vozarski pot 12, Ljubljana",14.5078706,46.0446059
ZZSZ Ljubljana - Zavod za zdravstveno in socialno zavarovanje,"Miklošičeva cesta 24, Ljubljana",14.5081806,46.0550393
ZZSZ Maribor - Zavod za zdravstveno in socialno zavarovanje,Maribor,15.6458812,46.5546503
ZZV Ljubljana - Zavod za zdravstveno varstvo,"Zaloška cesta 29, Ljubljana",14.5285612,46.0544934
